,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725024,2017-07-03 01:14:01,18.108,36.829,Winter,9.3,84.0,969.1,0.0,0.0,N,8.808
1725122,2017-07-03 03:14:01,16.606,38.015,Winter,8.3,88.0,969.7,0.0,0.0,N,8.306000000000001
1725220,2017-07-03 05:14:01,15.605,37.931,Winter,7.6,89.0,968.7,0.0,0.0,N,8.005
1725316,2017-07-03 07:14:01,14.603,37.088,Winter,7.4,91.0,969.8,0.0,0.0,N,7.202999999999999
1725411,2017-07-03 09:14:01,17.106,45.814,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.29399999999999693
1725512,2017-07-03 11:14:01,26.111,38.253,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.4110000000000014
1725611,2017-07-03 13:14:01,37.102,32.874,Winter,25.5,33.0,968.7,0.0,1.5,ENE,11.601999999999997
1725707,2017-07-03 15:14:01,40.096,28.462,Winter,25.6,31.0,968.1,0.0,2.7,E,14.495999999999995
1725808,2017-07-03 17:14:01,32.608,31.67,Winter,23.3,35.0,969.9,0.0,2.8,E,9.307999999999996
1725906,2017-07-03 19:14:01,25.611,32.917,Winter,20.3,45.0,971.2,0.0,1.5,E,5.311
1726002,2017-07-03 21:14:01,22.111,33.228,Winter,17.3,56.0,973.5,0.0,1.3,E,4.811
1726097,2017-07-03 23:14:01,20.109,34.365,Winter,16.9,63.0,974.0,0.0,1.4,E,3.209000000000003
1726194,2017-07-04 01:14:01,18.608,34.225,Winter,14.0,76.0,973.4,0.0,0.0,N,4.6080000000000005
1726295,2017-07-04 03:14:01,16.606,36.036,Winter,12.6,82.0,973.2,0.0,0.0,N,4.006000000000002
1726387,2017-07-04 05:14:01,16.105,35.993,Winter,11.8,85.0,972.9,0.0,0.0,N,4.305
1726488,2017-07-04 07:14:01,15.605,35.95,Winter,12.4,86.0,974.3,0.0,0.0,N,3.205
1726583,2017-07-04 09:14:01,17.106,36.741,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0060000000000002
1726680,2017-07-04 11:14:01,29.11,50.692,Winter,20.2,59.0,975.0,0.0,2.7,E,8.91
1726776,2017-07-04 13:14:01,28.111,44.918,Winter,22.7,48.0,973.0,0.0,2.8,E,5.411000000000001
1726872,2017-07-04 15:14:01,31.609,40.814,Winter,22.9,44.0,972.7,0.0,2.6,E,8.709000000000003
1726971,2017-07-04 17:14:01,28.111,39.769,Winter,21.2,48.0,972.1,0.0,1.6,E,6.911000000000001
1727064,2017-07-04 19:14:01,23.611,39.305,Winter,15.0,72.0,973.3,0.0,0.0,N,8.611
1727161,2017-07-04 21:14:01,20.61,39.021,Winter,12.9,77.0,973.9,0.0,0.0,N,7.709999999999999
1727261,2017-07-04 23:14:01,18.608,38.187,Winter,11.7,77.0,974.1,0.0,0.0,N,6.908000000000001
1727355,2017-07-05 01:14:01,17.106,38.057,Winter,11.0,83.0,974.4,0.0,0.0,N,6.106000000000002
1727453,2017-07-05 03:14:01,15.605,37.931,Winter,9.6,85.0,974.0,0.0,0.0,N,6.005000000000001
1727547,2017-07-05 05:14:01,14.603,37.734,Winter,10.7,83.0,974.4,0.0,0.0,N,3.9030000000000005
1727648,2017-07-05 07:14:01,14.603,37.734,Winter,10.7,86.0,974.6,0.0,0.0,N,3.9030000000000005
1727743,2017-07-05 09:14:01,22.111,41.107,Winter,17.4,68.0,976.4,0.0,0.0,N,4.711000000000002
1727843,2017-07-05 11:14:01,26.611,43.481,Winter,21.3,53.0,975.7,0.0,0.0,N,5.311
1727939,2017-07-05 13:14:01,31.109,31.501,Winter,24.0,41.0,973.5,0.0,1.8,ENE,7.109000000000002
1728038,2017-07-05 15:14:01,32.108,27.544,Winter,24.3,36.0,971.6,0.0,1.4,E,7.807999999999996
1728134,2017-07-05 17:14:01,24.611,38.753,Winter,22.7,40.0,972.0,0.0,1.3,E,1.9110000000000014
1728232,2017-07-05 19:14:01,22.111,48.116,Winter,15.2,68.0,973.4,0.0,0.0,N,6.911000000000001
1728325,2017-07-05 21:14:01,20.109,52.922,Winter,12.6,76.0,973.8,0.0,0.0,N,7.509000000000002
1728424,2017-07-05 23:14:01,18.608,57.083,Winter,11.0,77.0,974.6,0.0,0.0,N,7.6080000000000005
1728521,2017-07-06 01:14:01,17.106,59.398,Winter,10.0,80.0,974.3,0.0,0.0,N,7.106000000000002
1728621,2017-07-06 03:14:01,15.605,62.298,Winter,9.1,83.0,974.3,0.0,0.0,N,6.505000000000001
1728715,2017-07-06 05:14:01,14.102,67.209,Winter,7.9,86.0,974.1,0.0,0.0,N,6.202
1728813,2017-07-06 07:14:01,13.602,66.569,Winter,7.6,87.0,975.6,0.0,0.0,N,6.002000000000001
1728908,2017-07-06 09:14:01,20.61,51.109,Winter,16.8,56.0,976.3,0.0,0.0,N,3.8099999999999987
1729008,2017-07-06 11:14:01,27.111,42.25,Winter,21.3,53.0,975.6,0.0,0.0,N,5.811
1729105,2017-07-06 13:14:01,30.609,34.123,Winter,23.7,43.0,973.8,0.0,1.3,E,6.9090000000000025
1729201,2017-07-06 15:14:01,31.609,26.805,Winter,24.5,35.0,972.6,0.0,2.1,E,7.109000000000002
1729301,2017-07-06 17:14:01,24.611,43.917,Winter,22.4,42.0,972.4,0.0,1.6,E,2.211000000000002
1729395,2017-07-06 19:14:01,23.111,49.458,Winter,17.9,63.0,973.2,0.0,0.0,N,5.211000000000002
1729488,2017-07-06 21:14:01,22.111,53.084,Winter,18.0,64.0,973.8,0.0,0.0,N,4.111000000000001
1729587,2017-07-06 23:14:01,20.61,59.624,Winter,15.5,76.0,974.9,0.0,0.0,N,5.109999999999999
1729688,2017-07-07 01:14:01,19.609,66.594,Winter,12.8,83.0,974.9,0.0,0.0,N,6.809000000000001
1729784,2017-07-07 03:14:01,19.109,70.561,Winter,12.8,83.0,974.1,0.0,0.0,N,6.309000000000001
1729881,2017-07-07 05:14:01,18.608,72.783,Winter,13.4,82.0,974.9,0.0,0.0,N,5.208
1729979,2017-07-07 07:14:01,19.109,75.577,Winter,13.8,87.0,976.1,0.0,0.0,N,5.309000000000001
1730075,2017-07-07 09:14:01,21.11,71.244,Winter,17.3,83.0,976.5,0.0,0.0,N,3.8099999999999987
1730173,2017-07-07 11:14:01,26.611,52.278,Winter,20.1,69.0,976.7,0.0,1.2,NE,6.510999999999999
1730266,2017-07-07 13:14:01,28.611,43.054,Winter,22.6,53.0,974.0,0.0,1.3,E,6.010999999999999
1730365,2017-07-07 15:14:01,28.111,39.769,Winter,23.4,46.0,973.2,0.0,1.7,ENE,4.711000000000002
1730458,2017-07-07 17:14:01,24.611,53.309,Winter,22.0,49.0,972.3,0.0,0.0,N,2.6110000000000007
1730555,2017-07-07 19:14:01,22.611,54.352,Winter,17.8,69.0,973.7,0.0,0.0,N,4.811
1730654,2017-07-07 21:14:01,20.61,59.624,Winter,15.8,71.0,974.0,0.0,0.0,N,4.809999999999999
1730750,2017-07-07 23:14:01,19.109,68.288,Winter,13.6,82.0,974.3,0.0,0.0,N,5.509000000000002
1730847,2017-07-08 01:14:01,18.108,71.639,Winter,11.9,84.0,973.5,0.0,0.0,N,6.208
1730943,2017-07-08 03:14:01,17.106,72.718,Winter,11.7,83.0,972.8,0.0,0.0,N,5.406000000000002
1731040,2017-07-08 05:14:01,16.105,73.801,Winter,11.4,86.0,972.9,0.0,0.0,N,4.705
1731140,2017-07-08 07:14:01,16.105,73.243,Winter,10.1,90.0,974.4,0.0,0.0,N,6.005000000000001
1731235,2017-07-08 09:14:01,22.611,55.57,Winter,18.2,64.0,974.5,0.0,0.0,N,4.411000000000001
1731329,2017-07-08 11:14:01,27.111,48.601,Winter,22.4,57.0,973.7,0.0,0.0,N,4.711000000000002
1731430,2017-07-08 13:14:01,30.609,36.773,Winter,24.7,48.0,970.9,0.0,1.2,ENE,5.9090000000000025
1731526,2017-07-08 15:14:01,31.609,32.9,Winter,25.3,43.0,969.8,0.0,1.5,NE,6.309000000000001
1731621,2017-07-08 17:14:01,25.611,47.819,Winter,23.6,47.0,968.7,0.0,1.3,NNE,2.0109999999999992
1731716,2017-07-08 19:14:01,23.111,59.225,Winter,17.9,69.0,970.4,0.0,0.0,N,5.211000000000002
1731816,2017-07-08 21:14:01,21.61,63.829,Winter,17.0,74.0,971.2,0.0,0.0,N,4.609999999999999
1731910,2017-07-08 23:14:01,19.609,67.744,Winter,14.4,80.0,971.0,0.0,0.0,N,5.209000000000001
1732003,2017-07-09 01:14:01,18.608,71.1,Winter,12.3,87.0,970.6,0.0,0.0,N,6.308
1732102,2017-07-09 03:14:01,17.106,72.718,Winter,11.0,90.0,970.3,0.0,0.0,N,6.106000000000002
1732199,2017-07-09 05:14:01,16.105,74.912,Winter,10.2,89.0,969.7,0.0,0.0,N,5.905000000000001
1732295,2017-07-09 07:14:01,15.605,73.787,Winter,9.6,90.0,970.2,0.0,0.0,N,6.005000000000001
1732393,2017-07-09 09:14:01,22.111,56.134,Winter,18.7,58.0,970.4,0.0,2.2,SW,3.4110000000000014
1732492,2017-07-09 11:14:01,28.611,38.52,Winter,25.1,41.0,969.3,0.0,1.5,SW,3.5109999999999992
1732588,2017-07-09 13:14:01,29.11,29.256,Winter,27.9,30.0,966.9,0.0,2.2,S,1.2100000000000009
1732686,2017-07-09 15:14:01,32.608,23.468,Winter,28.2,26.0,965.2,0.0,2.2,SSE,4.407999999999998
1732781,2017-07-09 17:14:01,27.111,35.069,Winter,25.7,31.0,964.3,0.0,0.0,N,1.4110000000000014
