,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724954,2017-07-03 01:06:01,18.152,36.702,Winter,9.3,84.0,969.1,0.0,0.0,N,8.852
1725049,2017-07-03 03:06:01,17.15,36.614,Winter,8.3,88.0,969.7,0.0,0.0,N,8.849999999999998
1725142,2017-07-03 05:06:01,16.148,37.208,Winter,7.6,89.0,968.7,0.0,0.0,N,8.548
1725264,2017-07-03 07:06:01,15.145,36.443,Winter,7.4,91.0,969.8,0.0,0.0,N,7.744999999999999
1725344,2017-07-03 09:06:01,17.15,45.969,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.25
1725464,2017-07-03 11:06:01,25.158,39.392,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.458000000000002
1725535,2017-07-03 13:06:01,25.658,37.422,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.15800000000000125
1725627,2017-07-03 15:06:01,27.158,37.579,Winter,25.6,31.0,968.1,0.0,2.7,E,1.5579999999999998
1725735,2017-07-03 17:06:01,27.158,36.224,Winter,23.3,35.0,969.9,0.0,2.8,E,3.8580000000000005
1725850,2017-07-03 19:06:01,25.658,36.067,Winter,20.3,45.0,971.2,0.0,1.5,E,5.3580000000000005
1725940,2017-07-03 21:06:01,23.158,36.493,Winter,17.3,56.0,973.5,0.0,1.3,E,5.8580000000000005
1726020,2017-07-03 23:06:01,21.656,37.025,Winter,16.9,63.0,974.0,0.0,1.4,E,4.756
1726142,2017-07-04 01:06:01,20.155,36.884,Winter,14.0,76.0,973.4,0.0,0.0,N,6.155000000000001
1726237,2017-07-04 03:06:01,18.653,37.426,Winter,12.6,82.0,973.2,0.0,0.0,N,6.052999999999999
1726313,2017-07-04 05:06:01,17.651,37.337,Winter,11.8,85.0,972.9,0.0,0.0,N,5.850999999999999
1726438,2017-07-04 07:06:01,17.15,37.294,Winter,12.4,86.0,974.3,0.0,0.0,N,4.749999999999998
1726531,2017-07-04 09:06:01,17.15,37.294,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0499999999999972
1726607,2017-07-04 11:06:01,21.656,46.987,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4559999999999995
1726701,2017-07-04 13:06:01,23.658,43.237,Winter,22.7,48.0,973.0,0.0,2.8,E,0.958000000000002
1726799,2017-07-04 15:06:01,24.658,42.011,Winter,22.9,44.0,972.7,0.0,2.6,E,1.7580000000000027
1726892,2017-07-04 17:06:01,25.158,42.061,Winter,21.2,48.0,972.1,0.0,1.6,E,3.958000000000002
1727021,2017-07-04 19:06:01,25.658,39.443,Winter,15.0,72.0,973.3,0.0,0.0,N,10.658000000000001
1727114,2017-07-04 21:06:01,23.658,39.242,Winter,12.9,77.0,973.9,0.0,0.0,N,10.758000000000001
1727211,2017-07-04 23:06:01,22.157,39.768,Winter,11.7,77.0,974.1,0.0,0.0,N,10.457
1727288,2017-07-05 01:06:01,20.155,38.237,Winter,11.0,83.0,974.4,0.0,0.0,N,9.155000000000001
1727388,2017-07-05 03:06:01,18.653,39.451,Winter,9.6,85.0,974.0,0.0,0.0,N,9.052999999999999
1727479,2017-07-05 05:06:01,17.651,39.365,Winter,10.7,83.0,974.4,0.0,0.0,N,6.9510000000000005
1727586,2017-07-05 07:06:01,16.649,39.281,Winter,10.7,86.0,974.6,0.0,0.0,N,5.949000000000002
1727692,2017-07-05 09:06:01,17.15,39.995,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.25
1727779,2017-07-05 11:06:01,29.656,37.174,Winter,21.3,53.0,975.7,0.0,0.0,N,8.355999999999998
1727872,2017-07-05 13:06:01,30.156,33.818,Winter,24.0,41.0,973.5,0.0,1.8,ENE,6.155999999999999
1727963,2017-07-05 15:06:01,31.154,33.242,Winter,24.3,36.0,971.6,0.0,1.4,E,6.853999999999999
1728080,2017-07-05 17:06:01,31.654,31.917,Winter,22.7,40.0,972.0,0.0,1.3,E,8.954
1728158,2017-07-05 19:06:01,28.157,33.599,Winter,15.2,68.0,973.4,0.0,0.0,N,12.957
1728274,2017-07-05 21:06:01,24.158,35.233,Winter,12.6,76.0,973.8,0.0,0.0,N,11.558000000000002
1728370,2017-07-05 23:06:01,21.156,36.978,Winter,11.0,77.0,974.6,0.0,0.0,N,10.155999999999999
1728477,2017-07-06 01:06:01,18.653,38.777,Winter,10.0,80.0,974.3,0.0,0.0,N,8.652999999999999
1728571,2017-07-06 03:06:01,16.148,39.24,Winter,9.1,83.0,974.3,0.0,0.0,N,7.048
