,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724955,2017-07-03 01:06:01,17.104,38.591,Winter,9.3,84.0,969.1,0.0,0.0,N,7.8039999999999985
1725054,2017-07-03 03:06:01,15.601,38.466,Winter,8.3,88.0,969.7,0.0,0.0,N,7.301
1725173,2017-07-03 05:06:01,14.599,37.613,Winter,7.6,89.0,968.7,0.0,0.0,N,6.9990000000000006
1725253,2017-07-03 07:06:01,13.596,38.113,Winter,7.4,91.0,969.8,0.0,0.0,N,6.196
1725336,2017-07-03 09:06:01,16.102,48.278,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.2979999999999983
1725462,2017-07-03 11:06:01,24.611,41.251,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.9110000000000014
1725560,2017-07-03 13:06:01,25.611,36.74,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.11100000000000065
1725645,2017-07-03 15:06:01,28.111,34.335,Winter,25.6,31.0,968.1,0.0,2.7,E,2.5109999999999992
1725752,2017-07-03 17:06:01,27.611,34.951,Winter,23.3,35.0,969.9,0.0,2.8,E,4.311
1725840,2017-07-03 19:06:01,25.111,35.357,Winter,20.3,45.0,971.2,0.0,1.5,E,4.811
1725922,2017-07-03 21:06:01,22.61,36.439,Winter,17.3,56.0,973.5,0.0,1.3,E,5.309999999999999
1726054,2017-07-03 23:06:01,20.609,36.913,Winter,16.9,63.0,974.0,0.0,1.4,E,3.709000000000003
1726143,2017-07-04 01:06:01,19.107,37.439,Winter,14.0,76.0,973.4,0.0,0.0,N,5.106999999999999
1726242,2017-07-04 03:06:01,17.605,37.971,Winter,12.6,82.0,973.2,0.0,0.0,N,5.005000000000001
1726321,2017-07-04 05:06:01,16.603,37.885,Winter,11.8,85.0,972.9,0.0,0.0,N,4.803000000000001
1726440,2017-07-04 07:06:01,16.102,38.507,Winter,12.4,86.0,974.3,0.0,0.0,N,3.702
1726538,2017-07-04 09:06:01,16.603,37.885,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5030000000000001
1726616,2017-07-04 11:06:01,22.11,44.261,Winter,20.2,59.0,975.0,0.0,2.7,E,1.9100000000000001
1726710,2017-07-04 13:06:01,24.611,39.283,Winter,22.7,48.0,973.0,0.0,2.8,E,1.9110000000000014
1726829,2017-07-04 15:06:01,25.611,38.066,Winter,22.9,44.0,972.7,0.0,2.6,E,2.711000000000002
1726896,2017-07-04 17:06:01,26.611,37.508,Winter,21.2,48.0,972.1,0.0,1.6,E,5.411000000000001
1727017,2017-07-04 19:06:01,25.611,38.066,Winter,15.0,72.0,973.3,0.0,0.0,N,10.611
1727100,2017-07-04 21:06:01,23.111,39.793,Winter,12.9,77.0,973.9,0.0,0.0,N,10.211
1727182,2017-07-04 23:06:01,20.609,41.526,Winter,11.7,77.0,974.1,0.0,0.0,N,8.909000000000002
1727307,2017-07-05 01:06:01,18.606,42.006,Winter,11.0,83.0,974.4,0.0,0.0,N,7.606000000000002
1727393,2017-07-05 03:06:01,17.104,42.537,Winter,9.6,85.0,974.0,0.0,0.0,N,7.504
1727495,2017-07-05 05:06:01,15.601,42.421,Winter,10.7,83.0,974.4,0.0,0.0,N,4.901000000000002
1727598,2017-07-05 07:06:01,15.1,43.038,Winter,10.7,86.0,974.6,0.0,0.0,N,4.4
1727678,2017-07-05 09:06:01,16.102,41.804,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.2979999999999983
1727769,2017-07-05 11:06:01,29.11,37.114,Winter,21.3,53.0,975.7,0.0,0.0,N,7.809999999999999
1727891,2017-07-05 13:06:01,29.11,35.113,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.109999999999999
1727988,2017-07-05 15:06:01,31.607,32.702,Winter,24.3,36.0,971.6,0.0,1.4,E,7.306999999999999
1728066,2017-07-05 17:06:01,31.108,33.321,Winter,22.7,40.0,972.0,0.0,1.3,E,8.408000000000001
1728154,2017-07-05 19:06:01,27.611,34.281,Winter,15.2,68.0,973.4,0.0,0.0,N,12.411000000000001
1728260,2017-07-05 21:06:01,24.111,35.922,Winter,12.6,76.0,973.8,0.0,0.0,N,11.511000000000001
1728372,2017-07-05 23:06:01,21.109,36.96,Winter,11.0,77.0,974.6,0.0,0.0,N,10.109000000000002
1728454,2017-07-06 01:06:01,18.105,38.014,Winter,10.0,80.0,974.3,0.0,0.0,N,8.105
1728555,2017-07-06 03:06:01,16.102,38.507,Winter,9.1,83.0,974.3,0.0,0.0,N,7.002000000000001
1728645,2017-07-06 05:06:01,14.097,38.837,Winter,7.9,86.0,974.1,0.0,0.0,N,6.196999999999999
1728752,2017-07-06 07:06:01,12.593,39.906,Winter,7.6,87.0,975.6,0.0,0.0,N,4.993
1728843,2017-07-06 09:06:01,17.605,49.656,Winter,16.8,56.0,976.3,0.0,0.0,N,0.8049999999999997
1728939,2017-07-06 11:06:01,25.111,39.991,Winter,21.3,53.0,975.6,0.0,0.0,N,3.811
1729041,2017-07-06 13:06:01,27.611,34.281,Winter,23.7,43.0,973.8,0.0,1.3,E,3.9110000000000014
1729129,2017-07-06 15:06:01,29.61,29.764,Winter,24.5,35.0,972.6,0.0,2.1,E,5.109999999999999
