,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724956,2017-07-03 01:06:01,18.083,38.42,Winter,9.3,84.0,969.1,0.0,0.0,N,8.782999999999998
1725056,2017-07-03 03:06:01,16.583,38.292,Winter,8.3,88.0,969.7,0.0,0.0,N,8.282999999999998
1725170,2017-07-03 05:06:01,15.582,38.21,Winter,7.6,89.0,968.7,0.0,0.0,N,7.982000000000001
1725247,2017-07-03 07:06:01,14.582,38.016,Winter,7.4,91.0,969.8,0.0,0.0,N,7.182
1725340,2017-07-03 09:06:01,20.084,39.926,Winter,17.4,53.0,970.0,0.0,0.0,N,2.684000000000001
1725436,2017-07-03 11:06:01,25.584,38.465,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.8840000000000003
1725549,2017-07-03 13:06:01,25.584,38.465,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.08399999999999963
1725635,2017-07-03 15:06:01,26.584,38.568,Winter,25.6,31.0,968.1,0.0,2.7,E,0.9839999999999982
1725733,2017-07-03 17:06:01,27.084,36.617,Winter,23.3,35.0,969.9,0.0,2.8,E,3.783999999999999
1725843,2017-07-03 19:06:01,25.584,36.46,Winter,20.3,45.0,971.2,0.0,1.5,E,5.283999999999999
1725950,2017-07-03 21:06:01,23.084,37.547,Winter,17.3,56.0,973.5,0.0,1.3,E,5.783999999999999
1726030,2017-07-03 23:06:01,21.584,37.403,Winter,16.9,63.0,974.0,0.0,1.4,E,4.684000000000001
1726144,2017-07-04 01:06:01,20.084,36.592,Winter,14.0,76.0,973.4,0.0,0.0,N,6.084
1726214,2017-07-04 03:06:01,18.583,37.127,Winter,12.6,82.0,973.2,0.0,0.0,N,5.982999999999999
1726342,2017-07-04 05:06:01,17.583,36.366,Winter,11.8,85.0,972.9,0.0,0.0,N,5.782999999999998
1726436,2017-07-04 07:06:01,17.083,36.995,Winter,12.4,86.0,974.3,0.0,0.0,N,4.682999999999998
1726506,2017-07-04 09:06:01,17.083,38.335,Winter,16.1,75.0,975.9,0.0,0.0,N,0.982999999999997
1726623,2017-07-04 11:06:01,21.584,46.584,Winter,20.2,59.0,975.0,0.0,2.7,E,1.3840000000000003
1726737,2017-07-04 13:06:01,23.584,44.183,Winter,22.7,48.0,973.0,0.0,2.8,E,0.8840000000000003
1726811,2017-07-04 15:06:01,24.584,42.324,Winter,22.9,44.0,972.7,0.0,2.6,E,1.684000000000001
1726895,2017-07-04 17:06:01,25.084,42.374,Winter,21.2,48.0,972.1,0.0,1.6,E,3.8840000000000003
1727009,2017-07-04 19:06:01,25.584,40.453,Winter,15.0,72.0,973.3,0.0,0.0,N,10.584
