,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725029,2017-07-03 01:15:01,17.613,38.032,Winter,9.3,84.0,969.1,0.0,0.0,N,8.312999999999999
1725128,2017-07-03 03:15:01,16.111,37.905,Winter,8.3,88.0,969.7,0.0,0.0,N,7.811
1725225,2017-07-03 05:15:01,15.109,39.139,Winter,7.6,89.0,968.7,0.0,0.0,N,7.509
1725319,2017-07-03 07:15:01,14.107,37.593,Winter,7.4,91.0,969.8,0.0,0.0,N,6.706999999999999
1725417,2017-07-03 09:15:01,17.613,43.878,Winter,17.4,53.0,970.0,0.0,0.0,N,0.21300000000000097
1725517,2017-07-03 11:15:01,30.115,41.225,Winter,23.7,37.0,969.7,0.0,1.1,WSW,6.414999999999999
1725615,2017-07-03 13:15:01,30.615,27.282,Winter,25.5,33.0,968.7,0.0,1.5,ENE,5.114999999999998
1725711,2017-07-03 15:15:01,28.116,28.376,Winter,25.6,31.0,968.1,0.0,2.7,E,2.5159999999999982
1725809,2017-07-03 17:15:01,24.117,34.017,Winter,23.3,35.0,969.9,0.0,2.8,E,0.8170000000000002
1725907,2017-07-03 19:15:01,22.617,46.215,Winter,20.3,45.0,971.2,0.0,1.5,E,2.317
1726005,2017-07-03 21:15:01,21.116,51.717,Winter,17.3,56.0,973.5,0.0,1.3,E,3.815999999999999
1726101,2017-07-03 23:15:01,20.115,54.71,Winter,16.9,63.0,974.0,0.0,1.4,E,3.215
1726201,2017-07-04 01:15:01,18.614,60.032,Winter,14.0,76.0,973.4,0.0,0.0,N,4.614000000000001
1726299,2017-07-04 03:15:01,18.614,62.4,Winter,12.6,82.0,973.2,0.0,0.0,N,6.014000000000001
1726395,2017-07-04 05:15:01,17.613,64.103,Winter,11.8,85.0,972.9,0.0,0.0,N,5.812999999999999
1726493,2017-07-04 07:15:01,18.614,64.74,Winter,12.4,86.0,974.3,0.0,0.0,N,6.214
1726591,2017-07-04 09:15:01,19.615,62.463,Winter,16.1,75.0,975.9,0.0,0.0,N,3.514999999999997
1726688,2017-07-04 11:15:01,24.117,48.246,Winter,20.2,59.0,975.0,0.0,2.7,E,3.9170000000000016
1726785,2017-07-04 13:15:01,26.617,40.843,Winter,22.7,48.0,973.0,0.0,2.8,E,3.9170000000000016
1726883,2017-07-04 15:15:01,26.617,37.581,Winter,22.9,44.0,972.7,0.0,2.6,E,3.7170000000000023
1726978,2017-07-04 17:15:01,22.117,46.802,Winter,21.2,48.0,972.1,0.0,1.6,E,0.9170000000000016
1727070,2017-07-04 19:15:01,20.616,53.525,Winter,15.0,72.0,973.3,0.0,0.0,N,5.616
1727172,2017-07-04 21:15:01,19.615,60.097,Winter,12.9,77.0,973.9,0.0,0.0,N,6.714999999999998
1727269,2017-07-04 23:15:01,18.614,62.988,Winter,11.7,77.0,974.1,0.0,0.0,N,6.9140000000000015
1727364,2017-07-05 01:15:01,17.613,66.425,Winter,11.0,83.0,974.4,0.0,0.0,N,6.6129999999999995
1727460,2017-07-05 03:15:01,16.611,68.675,Winter,9.6,85.0,974.0,0.0,0.0,N,7.011000000000001
1727555,2017-07-05 05:15:01,17.112,64.661,Winter,10.7,83.0,974.4,0.0,0.0,N,6.411999999999999
1727654,2017-07-05 07:15:01,15.61,69.209,Winter,10.7,86.0,974.6,0.0,0.0,N,4.91
1727752,2017-07-05 09:15:01,23.617,50.696,Winter,17.4,68.0,976.4,0.0,0.0,N,6.217000000000002
1727846,2017-07-05 11:15:01,28.616,37.138,Winter,21.3,53.0,975.7,0.0,0.0,N,7.315999999999999
1727944,2017-07-05 13:15:01,31.613,30.118,Winter,24.0,41.0,973.5,0.0,1.8,ENE,7.6129999999999995
1728044,2017-07-05 15:15:01,29.116,29.165,Winter,24.3,36.0,971.6,0.0,1.4,E,4.815999999999999
1728140,2017-07-05 17:15:01,24.117,39.288,Winter,22.7,40.0,972.0,0.0,1.3,E,1.4170000000000016
1728238,2017-07-05 19:15:01,22.117,56.084,Winter,15.2,68.0,973.4,0.0,0.0,N,6.917000000000002
