,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724992,2017-07-03 01:08:01,16.59,37.814,Winter,9.3,84.0,969.1,0.0,0.0,N,7.289999999999999
1725086,2017-07-03 03:08:01,15.087,38.414,Winter,8.3,88.0,969.7,0.0,0.0,N,6.786999999999999
1725182,2017-07-03 05:08:01,14.085,37.525,Winter,7.6,89.0,968.7,0.0,0.0,N,6.485000000000001
1725285,2017-07-03 07:08:01,13.584,36.739,Winter,7.4,91.0,969.8,0.0,0.0,N,6.183999999999999
1725380,2017-07-03 09:08:01,16.089,43.524,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.311
1725479,2017-07-03 11:08:01,25.098,37.884,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.3979999999999997
1725577,2017-07-03 13:08:01,26.098,34.367,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.597999999999999
1725673,2017-07-03 15:08:01,28.597,30.978,Winter,25.6,31.0,968.1,0.0,2.7,E,2.997
1725773,2017-07-03 17:08:01,27.597,32.337,Winter,23.3,35.0,969.9,0.0,2.8,E,4.297000000000001
1725868,2017-07-03 19:08:01,25.098,34.263,Winter,20.3,45.0,971.2,0.0,1.5,E,4.797999999999998
1725966,2017-07-03 21:08:01,22.597,36.19,Winter,17.3,56.0,973.5,0.0,1.3,E,5.297000000000001
1726062,2017-07-03 23:08:01,20.595,35.272,Winter,16.9,63.0,974.0,0.0,1.4,E,3.6950000000000003
1726159,2017-07-04 01:08:01,19.094,35.858,Winter,14.0,76.0,973.4,0.0,0.0,N,5.094000000000001
1726259,2017-07-04 03:08:01,17.091,36.406,Winter,12.6,82.0,973.2,0.0,0.0,N,4.491000000000001
1726354,2017-07-04 05:08:01,16.59,37.089,Winter,11.8,85.0,972.9,0.0,0.0,N,4.789999999999999
1726455,2017-07-04 07:08:01,15.588,37.73,Winter,12.4,86.0,974.3,0.0,0.0,N,3.187999999999999
1726552,2017-07-04 09:08:01,16.089,36.319,Winter,16.1,75.0,975.9,0.0,0.0,N,-0.011000000000002785
1726649,2017-07-04 11:08:01,21.596,42.557,Winter,20.2,59.0,975.0,0.0,2.7,E,1.3960000000000008
1726742,2017-07-04 13:08:01,24.098,39.222,Winter,22.7,48.0,973.0,0.0,2.8,E,1.3979999999999997
1726840,2017-07-04 15:08:01,25.098,44.309,Winter,22.9,44.0,972.7,0.0,2.6,E,2.1980000000000004
1726935,2017-07-04 17:08:01,26.098,36.543,Winter,21.2,48.0,972.1,0.0,1.6,E,4.898
1727035,2017-07-04 19:08:01,25.098,37.884,Winter,15.0,72.0,973.3,0.0,0.0,N,10.097999999999999
1727131,2017-07-04 21:08:01,22.597,38.356,Winter,12.9,77.0,973.9,0.0,0.0,N,9.697000000000001
1727228,2017-07-04 23:08:01,20.095,40.279,Winter,11.7,77.0,974.1,0.0,0.0,N,8.395
1727324,2017-07-05 01:08:01,18.092,40.823,Winter,11.0,83.0,974.4,0.0,0.0,N,7.091999999999999
1727418,2017-07-05 03:08:01,16.59,41.417,Winter,9.6,85.0,974.0,0.0,0.0,N,6.99
1727517,2017-07-05 05:08:01,15.588,42.057,Winter,10.7,83.0,974.4,0.0,0.0,N,4.888
1727617,2017-07-05 07:08:01,15.087,42.735,Winter,10.7,86.0,974.6,0.0,0.0,N,4.3870000000000005
1727708,2017-07-05 09:08:01,16.089,40.66,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.311
1727806,2017-07-05 11:08:01,29.096,36.141,Winter,21.3,53.0,975.7,0.0,0.0,N,7.795999999999999
1727903,2017-07-05 13:08:01,29.096,34.688,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.096
1728005,2017-07-05 15:08:01,34.09,36.716,Winter,24.3,36.0,971.6,0.0,1.4,E,9.790000000000003
1728097,2017-07-05 17:08:01,32.593,36.538,Winter,22.7,40.0,972.0,0.0,1.3,E,9.893000000000004
1728197,2017-07-05 19:08:01,28.097,33.851,Winter,15.2,68.0,973.4,0.0,0.0,N,12.897000000000002
1728296,2017-07-05 21:08:01,24.598,33.483,Winter,12.6,76.0,973.8,0.0,0.0,N,11.998
1728389,2017-07-05 23:08:01,21.096,33.133,Winter,11.0,77.0,974.6,0.0,0.0,N,10.096
1728486,2017-07-06 01:08:01,18.593,32.16,Winter,10.0,80.0,974.3,0.0,0.0,N,8.593
1728585,2017-07-06 03:08:01,16.089,31.925,Winter,9.1,83.0,974.3,0.0,0.0,N,6.988999999999999
1728681,2017-07-06 05:08:01,14.085,31.795,Winter,7.9,86.0,974.1,0.0,0.0,N,6.1850000000000005
1728778,2017-07-06 07:08:01,12.581,32.293,Winter,7.6,87.0,975.6,0.0,0.0,N,4.981
1728879,2017-07-06 09:08:01,21.096,36.77,Winter,16.8,56.0,976.3,0.0,0.0,N,4.295999999999999
1728975,2017-07-06 11:08:01,21.096,54.402,Winter,21.3,53.0,975.6,0.0,0.0,N,-0.20400000000000063
1729070,2017-07-06 13:08:01,23.097,45.528,Winter,23.7,43.0,973.8,0.0,1.3,E,-0.602999999999998
1729167,2017-07-06 15:08:01,23.597,39.173,Winter,24.5,35.0,972.6,0.0,2.1,E,-0.9029999999999987
1729268,2017-07-06 17:08:01,22.597,39.076,Winter,22.4,42.0,972.4,0.0,1.6,E,0.19700000000000273
1729364,2017-07-06 19:08:01,21.596,46.097,Winter,17.9,63.0,973.2,0.0,0.0,N,3.6960000000000015
1729458,2017-07-06 21:08:01,22.597,59.295,Winter,18.0,64.0,973.8,0.0,0.0,N,4.597000000000001
1729553,2017-07-06 23:08:01,21.596,66.567,Winter,15.5,76.0,974.9,0.0,0.0,N,6.096
1729651,2017-07-07 01:08:01,20.595,70.436,Winter,12.8,83.0,974.9,0.0,0.0,N,7.794999999999998
