,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725014,2017-07-03 01:13:01,17.573,36.5,Winter,9.3,84.0,969.1,0.0,0.0,N,8.273
1725114,2017-07-03 03:13:01,16.571,37.085,Winter,8.3,88.0,969.7,0.0,0.0,N,8.271
1725209,2017-07-03 05:13:01,15.569,37.0,Winter,7.6,89.0,968.7,0.0,0.0,N,7.969000000000001
1725309,2017-07-03 07:13:01,14.566,36.172,Winter,7.4,91.0,969.8,0.0,0.0,N,7.166
1725407,2017-07-03 09:13:01,16.07,48.211,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.3299999999999983
1725501,2017-07-03 11:13:01,25.08,39.872,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.379999999999999
1725604,2017-07-03 13:13:01,25.58,35.924,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.0799999999999983
1725699,2017-07-03 15:13:01,27.08,36.752,Winter,25.6,31.0,968.1,0.0,2.7,E,1.4799999999999969
1725796,2017-07-03 17:13:01,27.58,35.462,Winter,23.3,35.0,969.9,0.0,2.8,E,4.279999999999998
1725900,2017-07-03 19:13:01,25.58,35.252,Winter,20.3,45.0,971.2,0.0,1.5,E,5.279999999999998
1725990,2017-07-03 21:13:01,23.079,35.671,Winter,17.3,56.0,973.5,0.0,1.3,E,5.779
1726092,2017-07-03 23:13:01,21.078,36.149,Winter,16.9,63.0,974.0,0.0,1.4,E,4.178000000000001
1726190,2017-07-04 01:13:01,20.077,36.055,Winter,14.0,76.0,973.4,0.0,0.0,N,6.077000000000002
1726286,2017-07-04 03:13:01,18.074,36.544,Winter,12.6,82.0,973.2,0.0,0.0,N,5.474000000000002
1726382,2017-07-04 05:13:01,17.072,37.128,Winter,11.8,85.0,972.9,0.0,0.0,N,5.2719999999999985
1726483,2017-07-04 07:13:01,16.571,37.756,Winter,12.4,86.0,974.3,0.0,0.0,N,4.171000000000001
1726580,2017-07-04 09:13:01,16.571,37.756,Winter,16.1,75.0,975.9,0.0,0.0,N,0.4710000000000001
