,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725032,2017-07-03 01:16:01,17.605,38.11,Winter,9.3,84.0,969.1,0.0,0.0,N,8.305
1725133,2017-07-03 03:16:01,16.102,38.65,Winter,8.3,88.0,969.7,0.0,0.0,N,7.802
1725228,2017-07-03 05:16:01,15.1,39.234,Winter,7.6,89.0,968.7,0.0,0.0,N,7.5
1725330,2017-07-03 07:16:01,14.097,38.33,Winter,7.4,91.0,969.8,0.0,0.0,N,6.696999999999999
1725424,2017-07-03 09:16:01,18.606,41.501,Winter,17.4,53.0,970.0,0.0,0.0,N,1.206000000000003
1725521,2017-07-03 11:16:01,31.108,39.464,Winter,23.7,37.0,969.7,0.0,1.1,WSW,7.408000000000001
1725622,2017-07-03 13:16:01,29.61,27.763,Winter,25.5,33.0,968.7,0.0,1.5,ENE,4.109999999999999
1725721,2017-07-03 15:16:01,29.61,27.763,Winter,25.6,31.0,968.1,0.0,2.7,E,4.009999999999998
1725818,2017-07-03 17:16:01,25.111,39.475,Winter,23.3,35.0,969.9,0.0,2.8,E,1.811
1725915,2017-07-03 19:16:01,23.111,43.209,Winter,20.3,45.0,971.2,0.0,1.5,E,2.811
1726012,2017-07-03 21:16:01,21.109,48.17,Winter,17.3,56.0,973.5,0.0,1.3,E,3.809000000000001
1726109,2017-07-03 23:16:01,20.108,53.116,Winter,16.9,63.0,974.0,0.0,1.4,E,3.208000000000002
1726205,2017-07-04 01:16:01,19.107,56.738,Winter,14.0,76.0,973.4,0.0,0.0,N,5.106999999999999
1726304,2017-07-04 03:16:01,18.606,59.132,Winter,12.6,82.0,973.2,0.0,0.0,N,6.006000000000002
1726399,2017-07-04 05:16:01,18.105,63.87,Winter,11.8,85.0,972.9,0.0,0.0,N,6.305
1726496,2017-07-04 07:16:01,18.606,62.718,Winter,12.4,86.0,974.3,0.0,0.0,N,6.206000000000001
1726597,2017-07-04 09:16:01,20.108,61.628,Winter,16.1,75.0,975.9,0.0,0.0,N,4.007999999999999
