,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724960,2017-07-03 01:06:01,17.638,38.152,Winter,9.3,84.0,969.1,0.0,0.0,N,8.338000000000001
1725046,2017-07-03 03:06:01,16.636,38.066,Winter,8.3,88.0,969.7,0.0,0.0,N,8.335999999999999
1725147,2017-07-03 05:06:01,15.634,37.983,Winter,7.6,89.0,968.7,0.0,0.0,N,8.034
1725260,2017-07-03 07:06:01,14.632,37.141,Winter,7.4,91.0,969.8,0.0,0.0,N,7.231999999999999
1725358,2017-07-03 09:06:01,16.135,47.098,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.264999999999997
1725437,2017-07-03 11:06:01,25.145,39.509,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4450000000000003
1725548,2017-07-03 13:06:01,26.144,36.327,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.6439999999999984
1725647,2017-07-03 15:06:01,28.643,34.603,Winter,25.6,31.0,968.1,0.0,2.7,E,3.0429999999999993
1725741,2017-07-03 17:06:01,28.144,35.214,Winter,23.3,35.0,969.9,0.0,2.8,E,4.843999999999998
1725845,2017-07-03 19:06:01,25.645,35.613,Winter,20.3,45.0,971.2,0.0,1.5,E,5.344999999999999
1725929,2017-07-03 21:06:01,23.144,36.683,Winter,17.3,56.0,973.5,0.0,1.3,E,5.843999999999998
1726026,2017-07-03 23:06:01,21.142,37.15,Winter,16.9,63.0,974.0,0.0,1.4,E,4.242000000000001
1726125,2017-07-04 01:06:01,19.641,37.67,Winter,14.0,76.0,973.4,0.0,0.0,N,5.640999999999998
1726240,2017-07-04 03:06:01,18.139,38.852,Winter,12.6,82.0,973.2,0.0,0.0,N,5.539
1726326,2017-07-04 05:06:01,17.137,38.109,Winter,11.8,85.0,972.9,0.0,0.0,N,5.337
1726410,2017-07-04 07:06:01,16.636,38.066,Winter,12.4,86.0,974.3,0.0,0.0,N,4.235999999999999
1726528,2017-07-04 09:06:01,17.137,38.109,Winter,16.1,75.0,975.9,0.0,0.0,N,1.036999999999999
1726618,2017-07-04 11:06:01,22.143,45.032,Winter,20.2,59.0,975.0,0.0,2.7,E,1.9430000000000014
1726713,2017-07-04 13:06:01,24.144,41.361,Winter,22.7,48.0,973.0,0.0,2.8,E,1.443999999999999
1726816,2017-07-04 15:06:01,26.144,39.612,Winter,22.9,44.0,972.7,0.0,2.6,E,3.2439999999999998
1726911,2017-07-04 17:06:01,26.644,39.664,Winter,21.2,48.0,972.1,0.0,1.6,E,5.443999999999999
1727008,2017-07-04 19:06:01,26.644,38.355,Winter,15.0,72.0,973.3,0.0,0.0,N,11.643999999999998
1727094,2017-07-04 21:06:01,23.644,40.012,Winter,12.9,77.0,973.9,0.0,0.0,N,10.743999999999998
1727190,2017-07-04 23:06:01,21.142,39.775,Winter,11.7,77.0,974.1,0.0,0.0,N,9.442
1727295,2017-07-05 01:06:01,19.641,40.292,Winter,11.0,83.0,974.4,0.0,0.0,N,8.640999999999998
1727399,2017-07-05 03:06:01,18.139,41.465,Winter,9.6,85.0,974.0,0.0,0.0,N,8.539
1727508,2017-07-05 05:06:01,16.636,40.691,Winter,10.7,83.0,974.4,0.0,0.0,N,5.936
1727567,2017-07-05 07:06:01,15.634,41.264,Winter,10.7,86.0,974.6,0.0,0.0,N,4.934000000000001
