Unnamed: 0,01.00,02.00,03.00,04.00,05.00,06.00,07.00,08.00,09.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,00.00
01/09/2017,88,91,90,91,92,92,91,82,74,65,54,46,41,37,37,40,47,66,65,54,56,57,57,53
02/09/2017,53,51,54,57,63,65,59,50,46,42,40,37,35,37,37,39,39,44,53,61,66,66,64,71
03/09/2017,76,79,81,85,83,79,78,74,69,67,63,57,46,38,36,35,35,41,47,52,57,54,61,67
04/09/2017,74,76,83,86,87,88,87,66,61,55,47,42,38,34,29,30,30,40,49,55,63,64,67,63
05/09/2017,65,68,70,74,77,76,71,52,41,37,34,30,28,25,24,24,25,36,42,50,52,56,47,53
06/09/2017,58,60,60,66,75,75,66,45,38,29,25,21,17,17,14,14,18,28,32,35,30,42,48,54
07/09/2017,58,62,62,64,66,70,59,40,36,32,28,24,22,19,17,16,18,24,31,38,44,44,42,44
08/09/2017,48,53,55,57,56,57,58,39,31,31,26,24,20,18,15,20,20,22,29,28,26,35,44,46
09/09/2017,51,52,60,60,62,65,60,42,34,29,27,27,24,22,21,19,21,25,33,33,30,34,43,52
10/09/2017,58,60,61,64,66,68,64,46,42,38,32,28,26,24,23,20,21,29,38,46,49,48,50,51
11/09/2017,53,55,57,61,62,65,57,40,30,25,22,18,16,14,13,14,14,23,24,22,23,32,37,40
12/09/2017,44,50,50,54,54,56,50,35,36,31,27,20,16,14,14,13,12,15,15,25,29,22,29,37
13/09/2017,38,42,50,47,49,50,46,31,25,24,21,18,14,11,12,11,11,13,21,16,21,21,29,32
14/09/2017,36,38,42,43,44,49,41,28,21,21,17,12,12,12,12,13,13,15,23,30,57,67,73,     -
