Datetime,Dry Bulb Temperature,Relative Humidity,Wind Speed,Wind Direction,Atmospheric Station Pressure,Indoor Mean Air Temperature,Indoor Air Relative Humidity,Precipitable Water
2014-02-18 05:05:00,13.6,84.0,0.0,0,841.0,24.7,50.6,0.0
2014-02-18 06:05:00,13.6,85.0,0.0,0,841.3,24.9,53.8,0.0
2014-02-18 07:05:00,15.0,83.0,0.0,0,841.6,24.9,52.2,0.0
2014-02-18 08:05:00,19.2,62.0,0.0,0,841.5,24.9,51.3,0.0
2014-02-18 09:05:00,21.9,55.0,0.0,0,841.4,24.7,51.0,0.0
2014-02-18 10:05:00,24.6,48.0,1.2,300,841.3,24.6,51.6,0.0
2014-02-18 11:05:00,26.4,42.0,1.5,260,840.8,24.7,52.7,0.0
2014-02-18 12:05:00,27.6,33.0,1.6,240,840.4,24.6,51.1,0.0
2014-02-18 13:05:00,27.6,31.0,1.5,220,839.7,24.6,50.1,0.0
2014-02-18 14:05:00,28.2,29.0,1.4,190,839.0,24.8,51.1,0.0
2014-02-18 15:05:00,29.7,27.0,1.6,240,838.4,24.8,51.4,0.0
2014-02-18 16:05:00,28.3,30.0,1.5,190,837.9,24.9,50.9,0.0
2014-02-18 17:05:00,28.8,29.0,1.3,220,837.5,24.8,47.8,0.0
2014-02-18 18:05:00,27.9,29.0,1.1,180,837.4,24.7,47.5,0.0
2014-02-18 19:05:00,22.7,45.0,0.0,0,837.7,24.8,48.2,0.0
2014-02-18 20:05:00,20.3,55.0,0.0,0,837.9,25.3,54.0,0.0
2014-02-18 21:05:00,20.2,55.0,0.0,0,838.5,25.3,53.2,0.0
2014-02-18 22:05:00,20.5,52.0,0.0,0,838.9,25.6,55.5,0.0
2014-02-18 23:05:00,21.2,56.0,2.7,110,839.6,25.3,55.7,0.0
2014-02-19 00:05:00,20.1,63.0,2.1,120,839.4,25.2,56.3,0.0
2014-02-19 01:05:00,20.2,65.0,2.2,110,839.0,25.1,57.3,0.0
2014-02-19 02:05:00,20.2,61.0,3.0,100,838.9,24.9,56.5,0.0
2014-02-19 03:05:00,20.2,60.0,2.9,100,838.7,24.9,54.8,0.0
2014-02-19 04:05:00,19.5,62.0,2.1,90,838.5,24.9,54.6,0.0
2014-02-19 05:05:00,18.5,66.0,1.1,70,839.0,24.9,55.3,0.0
2014-02-19 06:05:00,18.4,72.0,1.6,50,839.3,24.9,55.9,0.0
2014-02-19 07:05:00,19.0,73.0,1.3,50,839.5,25.1,57.6,0.0
2014-02-19 08:05:00,20.0,69.0,2.1,50,839.6,24.8,55.3,0.0
2014-02-19 09:05:00,23.0,56.0,1.9,40,839.6,24.7,54.5,0.0
2014-02-19 10:05:00,24.1,53.0,1.9,30,839.2,24.7,53.9,0.0
2014-02-19 11:05:00,25.2,47.0,1.5,350,838.9,24.7,53.5,0.0
2014-02-19 12:05:00,26.2,46.0,1.5,360,838.6,24.9,55.9,0.0
2014-02-19 13:05:00,27.0,43.0,1.4,360,838.0,25.0,55.2,0.0
2014-02-19 14:05:00,28.1,41.0,1.4,10,837.3,24.9,54.6,0.0
2014-02-19 15:05:00,28.3,39.0,1.4,340,836.2,24.9,54.4,0.0
2014-02-19 16:05:00,28.5,38.0,1.4,360,835.7,25.1,53.6,0.0
2014-02-19 17:05:00,26.9,41.0,1.4,320,835.4,25.2,54.9,0.0
2014-02-19 18:05:00,25.3,49.0,0.0,0,835.5,25.0,55.1,0.0
2014-02-19 19:05:00,24.0,54.0,0.0,0,836.0,25.7,64.2,0.0
2014-02-19 20:05:00,23.4,54.0,1.3,260,836.5,26.2,64.9,0.0
2014-02-19 21:05:00,20.2,65.0,2.1,150,837.3,26.2,66.4,0.0
2014-02-19 22:05:00,20.0,65.0,1.3,130,838.4,25.8,63.3,0.0
2014-02-19 23:05:00,19.5,69.0,1.2,70,837.9,25.8,65.3,0.0
2014-02-20 00:05:00,19.3,73.0,0.0,0,837.2,25.7,65.0,0.0
2014-02-20 01:05:00,18.1,73.0,1.8,250,837.2,25.6,65.4,0.0
2014-02-20 02:05:00,18.0,80.0,0.0,0,837.1,25.4,64.4,0.0
2014-02-20 03:05:00,18.0,82.0,0.0,0,836.5,25.4,63.4,0.0
2014-02-20 04:05:00,17.8,84.0,0.0,0,836.2,25.3,63.6,0.0
2014-02-20 05:05:00,17.7,84.0,0.0,0,835.9,25.3,63.1,0.0
2014-02-20 06:05:00,17.6,83.0,0.0,0,836.0,25.2,62.3,0.0
2014-02-20 07:05:00,17.9,81.0,0.0,0,836.3,25.3,61.2,0.0
2014-02-20 08:05:00,20.1,68.0,0.0,0,836.5,25.1,57.6,0.0
2014-02-20 09:05:00,22.0,64.0,1.3,330,836.8,25.1,56.0,0.0
2014-02-20 10:05:00,23.8,56.0,1.5,340,836.8,25.1,55.4,0.0
2014-02-20 11:05:00,24.5,54.0,1.6,330,836.8,25.2,56.3,0.0
2014-02-20 12:05:00,25.8,52.0,1.7,310,836.5,25.2,54.7,0.0
2014-02-20 13:05:00,25.8,46.0,1.6,310,835.9,25.3,56.2,0.0
2014-02-20 14:05:00,27.6,41.0,1.9,280,835.1,25.3,55.6,0.0
2014-02-20 15:05:00,24.4,53.0,1.9,250,834.6,25.3,55.4,0.2
2014-02-20 16:05:00,25.6,55.0,1.1,190,834.2,25.3,56.5,0.0
2014-02-20 17:05:00,27.2,45.0,1.2,10,833.8,25.3,56.6,0.0
2014-02-20 18:05:00,26.3,42.0,1.7,270,834.0,25.3,56.7,0.0
2014-02-20 19:05:00,23.7,57.0,0.0,0,834.5,25.4,56.4,0.0
